label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
pb,QP,Observed value of environmental pollutant Lead (Pb). Value is an object containing attributes representing statistical aggregates derived from past data.,"EnvAQM,
AirQuality",TimeSeriesAggregation,,,1,0,
illuminance,QP,Observed instantaneous ambient light intensity.,"EnvAQM,
AirQuality","Number,
ValueDescriptor,
TimeSeriesAggregation",,,1,0,
airQualityIndex,QP,Overall Air Quality Index (AQI) for the observed air quality.,"EnvAQM,
AirQuality","Number,
ValueDescriptor",,,1,0,
arsenic,QP,Observed value of environmental pollutant Arsenic (As). Value is an object containing attributes representing statistical aggregates derived from past data.,"EnvAQM,
AirQuality",TimeSeriesAggregation,,,1,0,
aqiMajorPollutant,TXP,Major pollutant in the Air Quality Index (AQI).,"EnvAQM,
AirQuality","Text,
ValueDescriptor",,,1,0,
co,QP,Observed value of environmental pollutant Carbon Monoxide (CO). Value is an object containing attributes representing statistical aggregates derived from past data.,"EnvAQM,
AirQuality",TimeSeriesAggregation,,,1,0,
precipitation,QP,Observed precipitation/rainfall level over a given duration.,"EnvAQM,
AirQuality","Number,
ValueDescriptor",,,1,0,
pm2p5,QP,Observed value of environmental pollutant Particulate Matter 2.5 (PM2.5). Value is an object containing attributes representing statistical aggregates derived from past data.,"EnvAQM,
AirQuality",TimeSeriesAggregation,,,1,0,
versionInfo,SP,Version information corresponding to this observation.,"EnvAQM,
AirQuality",Version,,,1,0,
solarRadiation,QP,The number of photons that are being emitted by the sun.,"EnvAQM,
AirQuality","Number,
ValueDescriptor",,,1,0,
no2,QP,Observed value of environmental pollutant Nitrogen Dioxide (NO2). Value is an object containing attributes representing statistical aggregates derived from past data.,"EnvAQM,
AirQuality",TimeSeriesAggregation,,,1,0,
location,GeoProperty,"Location associated with a resource Item (a spatial point), a group of resource items (a spatial region) or even an observation in case of a mobile sensor.","EnvAQM,
AirQuality","Point,
GeoJSONGeometry,
Place,
Text,
ValueDescriptor",,,1,1,
pm2p5Calibrated,QP,Calibrated measurement of environmental pollutant Particulate Matter 2.5 (PM2.5). Value is an object containing attributes representing statistical aggregates derived from past data.,AirQuality,TimeSeriesAggregation,,,0,0,
pm10Calibrated,QP,Calibrated measurement of environmental pollutant Particulate Matter 10 (PM10). Value is an object containing attributes representing statistical aggregates derived from past data.,AirQuality,TimeSeriesAggregation,,,0,0,
airTemperatureCalibrated,QP,Calibrated measurement of air temperature. Value is an object containing attributes representing statistical aggregates derived from past data.,AirQuality,TimeSeriesAggregation,,,0,0,
relativeHumidityCalibrated,QP,Calibrated measurement of relative humidity (water vapour in air).,AirQuality,TimeSeriesAggregation,,,0,0,
